"","Year","Rank","Country.code","Country","Region.Code","Region","Overall","Coverage","Openness"
"1","2017",1,"DNK","Denmark","EUN","Northern Europe",80.2,64.6,94.5
"2","2017",2,"NLD","Netherlands","EUW","Western Europe",77.5,55.2,98.1
"3","2017",3,"SWE","Sweden","EUN","Northern Europe",77.3,66.6,87.2
"4","2017",4,"POL","Poland","EUE","Eastern Europe",75.4,70.2,80.2
"5","2017",5,"CAN","Canada","AMN","North America",74.8,63,85.7
"6","2017",6,"FIN","Finland","EUN","Northern Europe",74.6,60.1,88
"7","2017",7,"NOR","Norway","EUN","Northern Europe",73.8,70.2,77.1
"8","2017",8,"BGR","Bulgaria","EUE","Eastern Europe",72.9,62.1,82.8
"9","2017",9,"MEX","Mexico","AMM","Central America",70.6,55.5,84.6
"10","2017",10,"SVN","Slovenia","EUZ","Southern Europe",69.1,54.4,82.8
"11","2017",11,"SVK","Slovakia","EUE","Eastern Europe",68.8,57.7,79.1
"12","2017",12,"USA","United States","AMN","North America",68.6,65.3,71.7
"13","2017",13,"EST","Estonia","EUN","Northern Europe",68,58.7,76.6
"14","2017",14,"AUS","Australia","OAZ","Australia and New Zealand
",67.4,50,83.5
"15","2017",15,"CZE","Czech Republic","EUE","Eastern Europe",67.1,63.4,70.5
"16","2017",16,"KOR","Korea, Rep.","ASF","Eastern Asia",66,53.1,77.9
"17","2017",17,"LVA","Latvia","EUN","Northern Europe",65.6,51.2,79
"18","2017",18,"LTU","Lithuania","EUN","Northern Europe",65.6,60.4,70.4
"19","2017",19,"MDA","Moldova","EUE","Eastern Europe",65.6,54.5,75.8
"20","2017",20,"SGP","Singapore","ASE","South-Eastern Asia",63.8,55,70.6
"21","2017",21,"PRT","Portugal","EUZ","Southern Europe",63.7,54.8,71.9
"22","2017",22,"NZL","New Zealand","OAZ","Australia and New Zealand
",62.9,49.3,75.5
"23","2017",23,"ITA","Italy","EUZ","Southern Europe",62.5,56.2,68.4
"24","2017",24,"MNG","Mongolia","ASF","Eastern Asia",62.2,52.5,71.1
"25","2017",25,"DEU","Germany","EUW","Western Europe",60.8,47.4,73.2
"26","2017",26,"IRL","Ireland","EUN","Northern Europe",60.5,46.2,73.6
"27","2017",27,"IDN","Indonesia","ASE","South-Eastern Asia",58.3,58,58.5
"28","2017",28,"PHL","Philippines","ASE","South-Eastern Asia",58.2,45.2,70.2
"29","2017",29,"ESP","Spain","EUZ","Southern Europe",58.1,53.1,62.8
"30","2017",30,"HKG","Hong Kong SAR, China","ASF","Eastern Asia",57.5,54.3,60
"31","2017",31,"MUS","Mauritius","AFE","Eastern Africa",57.5,53,61.7
"32","2017",32,"MKD","Macedonia, FYR","EUZ","Southern Europe",57.3,52.5,61.7
"33","2017",33,"FRA","France","EUW","Western Europe",57.2,46,67.5
"34","2017",34,"ISL","Iceland","EUN","Northern Europe",56.6,44.5,67.7
"35","2017",35,"JPN","Japan","ASF","Eastern Asia",56.1,54.9,57.3
"36","2017",36,"AUT","Austria","EUW","Western Europe",56.1,51.2,60.7
"37","2017",37,"PER","Peru","AMZ","South America",55.9,52,59.5
"38","2017",38,"GEO","Georgia","ASW","Western Asia",55.1,52.9,57.2
"39","2017",39,"ECU","Ecuador","AMZ","South America",55,47.4,61.9
"40","2017",40,"ALB","Albania","EUZ","Southern Europe",54.3,50.5,57.7
"41","2017",41,"RWA","Rwanda","AFE","Eastern Africa",53.7,43.4,63.2
"42","2017",42,"COL","Colombia","AMZ","South America",53.5,54.2,52.9
"43","2017",43,"ARM","Armenia","ASW","Western Asia",53.4,50.9,55.7
"44","2017",44,"IND","India","ASZ","Southern Asia",52.7,45.9,58.9
"45","2017",45,"CRI","Costa Rica","AMM","Central America",52.4,43.8,60.3
"46","2017",46,"KAZ","Kazakhstan","ASC","Central Asia",52.3,62.5,42.9
"47","2017",47,"CHE","Switzerland","EUW","Western Europe",51.8,45.2,57.9
"48","2017",48,"HUN","Hungary","EUE","Eastern Europe",51.8,52.1,51.4
"49","2017",49,"AZE","Azerbaijan","ASW","Western Asia",51,59.3,43.4
"50","2017",50,"ARE","United Arab Emirates","ASW","Western Asia",51,36.2,64.8
"51","2017",51,"TUR","Turkey","ASW","Western Asia",50.8,42.5,58.4
"52","2017",52,"CYP","Cyprus","ASW","Western Asia",50.7,44.5,56.5
"53","2017",53,"OMN","Oman","ASW","Western Asia",50.1,36,63.1
"54","2017",54,"GBR","United Kingdom","EUN","Northern Europe",49.7,43.1,55.8
"55","2017",55,"RUS","Russian Federation","EUE","Eastern Europe",49.6,56.6,43.1
"56","2017",56,"BEL","Belgium","EUW","Western Europe",49.1,44.6,53.3
"57","2017",57,"KWT","Kuwait","ASW","Western Asia",48.2,45.7,50.5
"58","2017",58,"BLR","Belarus","EUE","Eastern Europe",48.1,57.3,39.6
"59","2017",59,"GRC","Greece","EUZ","Southern Europe",48,40,55.4
"60","2017",60,"KGZ","Kyrgyzstan","ASC","Central Asia",47.7,52.2,43.6
"61","2017",61,"LUX","Luxembourg","EUW","Western Europe",46.9,33.5,59.3
"62","2017",62,"ISR","Israel","ASW","Western Asia",46.4,39.7,52.6
"63","2017",63,"URY","Uruguay","AMZ","South America",46,40.6,50.9
"64","2017",64,"DOM","Dominican Republic","AMC","Caribbean",44.8,42.9,46.6
"65","2017",65,"MYS","Malaysia","ASE","South-Eastern Asia",44.8,39.8,49.3
"66","2017",66,"ZAF","South Africa","AFZ","Southern Africa",44.7,37.5,51.3
"67","2017",67,"JAM","Jamaica","AMC","Caribbean",44.3,30.2,57.4
"68","2017",68,"XKX","Kosovo","EUZ","Southern Europe",43.7,43.2,44.1
"69","2017",69,"LKA","Sri Lanka","ASZ","Southern Asia",43.6,45.8,41.6
"70","2017",70,"PSE","Palestine","ASW","Western Asia",43.1,45.6,40.7
"71","2017",71,"BWA","Botswana","AFZ","Southern Africa",42.8,36.4,48.7
"72","2017",72,"HRV","Croatia","EUZ","Southern Europe",42.6,42,43.2
"73","2017",73,"BOL","Bolivia","AMZ","South America",42.2,33.3,50.5
"74","2017",74,"UKR","Ukraine","EUE","Eastern Europe",41.8,46.7,37.3
"75","2017",75,"UGA","Uganda","AFE","Eastern Africa",41.7,37.8,45.4
"76","2017",76,"MLT","Malta","EUZ","Southern Europe",41.6,35.2,46.4
"77","2017",77,"CHN","China","ASF","Eastern Asia",41.5,43.6,39.6
"78","2017",78,"TWN","Taiwan","ASF","Eastern Asia",40.7,34.7,46.3
"79","2017",79,"TJK","Tajikistan","ASC","Central Asia",40.7,35.3,45.6
"80","2017",80,"SEN","Senegal","AFW","Western Africa",39.9,37.4,42.1
"81","2017",81,"MMR","Myanmar","ASE","South-Eastern Asia",39.2,31.8,46.1
"82","2017",82,"BTN","Bhutan","ASZ","Southern Asia",39.1,45.3,33.3
"83","2017",83,"EGY","Egypt","AFN","Northern Africa",38.9,46.4,32.1
"84","2017",84,"LIE","Liechtenstein","EUW","Western Europe",38,32.8,42.8
"85","2017",85,"JOR","Jordan","ASW","Western Asia",37.9,36.6,39.1
"86","2017",86,"BRA","Brazil","AMZ","South America",37.9,39.2,36.6
"87","2017",87,"QAT","Qatar","ASW","Western Asia",37.6,39.7,35.7
"88","2017",88,"NGA","Nigeria","AFW","Western Africa",37.6,42.5,33.1
"89","2017",89,"MNE","Montenegro","EUZ","Southern Europe",37.6,39.7,35.6
"90","2017",90,"MDV","Maldives","ASZ","Southern Asia",37.5,34.1,40.2
"91","2017",91,"PAN","Panama","AMM","Central America",37.3,38.4,36.3
"92","2017",92,"ARG","Argentina","AMZ","South America",37.3,37.9,36.7
"93","2017",93,"SRB","Serbia","EUZ","Southern Europe",37.1,35.2,38.7
"94","2017",94,"WSM","Samoa","OPI","Pacific Islands",37,34,39.8
"95","2017",95,"BGD","Bangladesh","ASZ","Southern Asia",36.9,38.2,35.7
"96","2017",96,"TUN","Tunisia","AFN","Northern Africa",36.6,36.5,36.7
"97","2017",97,"KEN","Kenya","AFE","Eastern Africa",36.4,40.8,32.3
"98","2017",98,"LBR","Liberia","AFW","Western Africa",36.2,34.8,37.6
"99","2017",99,"GIN","Guinea","AFW","Western Africa",36.2,36.4,36
"100","2017",100,"MLI","Mali","AFW","Western Africa",36.1,34,37.9
"101","2017",101,"VNM","Vietnam","ASE","South-Eastern Asia",35.9,30.3,41.2
"102","2017",102,"PRY","Paraguay","AMZ","South America",35.5,40.3,31.1
"103","2017",103,"SYC","Seychelles","AFE","Eastern Africa",35.4,36.4,34.7
"104","2017",104,"CMR","Cameroon","AFM","Middle Africa",35.3,35.6,35.1
"105","2017",105,"MAC","Macao SAR, China","ASF","Eastern Asia",35.3,28.2,41.9
"106","2017",106,"SLV","El Salvador","AMM","Central America",35,33.8,36.1
"107","2017",107,"CUB","Cuba","AMC","Caribbean",34.9,40.5,29.8
"108","2017",108,"IRN","Iran, Islamic Rep.","ASZ","Southern Asia",34.8,39.7,30.3
"109","2017",109,"BIH","Bosnia and Herzegovina","EUZ","Southern Europe",34.8,36.5,33.2
"110","2017",110,"NER","Niger","AFW","Western Africa",34.7,36.9,32.6
"111","2017",111,"BLZ","Belize","AMM","Central America",34.6,33.9,35.3
"112","2017",112,"SUR","Suriname","AMZ","South America",34.5,33.7,35.3
"113","2017",113,"HND","Honduras","AMM","Central America",34.3,33.7,34.8
"114","2017",114,"GHA","Ghana","AFW","Western Africa",34.2,36.6,32
"115","2017",115,"MRT","Mauritania","AFW","Western Africa",33.8,32.5,35
"116","2017",116,"PAK","Pakistan","ASZ","Southern Asia",33.4,39.8,27.6
"117","2017",117,"NPL","Nepal","ASZ","Southern Asia",33.3,34.6,32.2
"118","2017",118,"THA","Thailand","ASE","South-Eastern Asia",33.1,38.3,28.4
"119","2017",119,"LBN","Lebanon","ASW","Western Asia",33,31.2,34.7
"120","2017",120,"TZA","Tanzania","AFE","Eastern Africa",32.9,35.4,30.6
"121","2017",121,"SLE","Sierra Leone","AFW","Western Africa",32.6,32.2,33
"122","2017",122,"MWI","Malawi","AFE","Eastern Africa",32.5,28.9,35.9
"123","2017",123,"LSO","Lesotho","AFZ","Southern Africa",31.9,23.7,39.6
"124","2017",124,"BDI","Burundi","AFE","Eastern Africa",31.8,34.7,29.2
"125","2017",125,"NIC","Nicaragua","AMM","Central America",31.8,33.9,29.8
"126","2017",126,"GTM","Guatemala","AMM","Central America",31.1,30.2,32
"127","2017",127,"VEN","Venezuela","AMZ","South America",30.9,31.8,30.2
"128","2017",128,"DZA","Algeria","AFN","Northern Africa",30.6,32.5,28.7
"129","2017",129,"CHL","Chile","AMZ","South America",29.6,35.3,24.3
"130","2017",130,"BFA","Burkina Faso","AFW","Western Africa",29.5,30.8,28.3
"131","2017",131,"COG","Congo, Rep.","AFM","Middle Africa",29.5,25.5,33.1
"132","2017",132,"SAU","Saudi Arabia","ASW","Western Asia",29.3,30.2,28.5
"133","2017",133,"MAR","Morocco","AFN","Northern Africa",28.9,33.1,24.9
"134","2017",134,"FJI","Fiji","OPI","Pacific Islands",28.5,26.3,30.6
"135","2017",135,"ADO","Andorra","EUZ","Southern Europe",28.5,24.3,31.9
"136","2017",136,"VCT","St. Vincent & Grenadines","AMC","Caribbean",28.4,30.2,27.1
"137","2017",137,"ROU","Romania","EUE","Eastern Europe",28.4,28.6,28.1
"138","2017",138,"BHS","The Bahamas","AMC","Caribbean",28.3,27.6,29
"139","2017",139,"SLB","Solomon Islands","OPI","Pacific Islands",28.3,26.7,29.7
"140","2017",140,"TTO","Trinidad and Tobago","AMC","Caribbean",28.1,19.9,35.7
"141","2017",141,"ETH","Ethiopia","AFE","Eastern Africa",28,30,26
"142","2017",142,"MOZ","Mozambique","AFE","Eastern Africa",27.9,34.1,22.1
"143","2017",143,"GNB","Guinea-Bissau","AFW","Western Africa",27.5,21.3,33.2
"144","2017",144,"VUT","Vanuatu","OPI","Pacific Islands",27.3,26.3,28.3
"145","2017",145,"ZWE","Zimbabwe","AFE","Eastern Africa",27.1,28,26.2
"146","2017",146,"GMB","The Gambia","AFW","Western Africa",26.4,25.5,27.2
"147","2017",147,"NAM","Namibia","AFZ","Southern Africa",26.2,25.3,27
"148","2017",148,"IRQ","Iraq","ASW","Western Asia",26.2,27.9,24.6
"149","2017",149,"DJI","Djibouti","AFE","Eastern Africa",26.1,22.7,29.3
"150","2017",150,"TLS","Timor-Leste","ASE","South-Eastern Asia",25.8,29.7,22.2
"151","2017",151,"KIR","Kiribati","OPI","Pacific Islands",24.9,21.8,27.3
"152","2017",152,"KHM","Cambodia","ASE","South-Eastern Asia",24.8,20.6,28.7
"153","2017",153,"TGO","Togo","AFW","Western Africa",24.4,21.4,27.1
"154","2017",154,"COD","Congo, Dem. Rep.","AFM","Middle Africa",23.5,22.8,24.1
"155","2017",155,"MHL","Marshall Islands","OPI","Pacific Islands",23.4,20.8,25.4
"156","2017",156,"ZMB","Zambia","AFE","Eastern Africa",23.2,26.5,20.2
"157","2017",157,"CIV","Cote d'Ivoire","AFW","Western Africa",23.1,18.4,27.4
"158","2017",158,"LAO","Lao PDR","ASE","South-Eastern Asia",22.7,22.6,22.7
"159","2017",159,"GUY","Guyana","AMZ","South America",22.6,23.4,21.9
"160","2017",160,"FSM","Micronesia, Fed. Sts.","OPI","Pacific Islands",22.2,22,22.3
"161","2017",161,"AFG","Afghanistan","ASZ","Southern Asia",22.1,22.1,22.1
"162","2017",162,"STP","Sao Tome and Principe","AFM","Middle Africa",21.5,16.8,25.1
"163","2017",163,"AGO","Angola","AFM","Middle Africa",20.8,18.2,23.2
"164","2017",164,"SSD","South Sudan","AFE","Eastern Africa",20.3,14.9,25.3
"165","2017",165,"CPV","Cabo Verde","AFW","Western Africa",20,18.9,21.1
"166","2017",166,"LCA","St. Lucia","AMC","Caribbean",19.7,22.7,17.3
"167","2017",167,"UZB","Uzbekistan","ASC","Central Asia",17.6,17.4,17.7
"168","2017",168,"GAB","Gabon","AFM","Middle Africa",17.3,13,21.2
"169","2017",169,"SYR","Syrian Arab Republic","ASW","Western Asia",17.1,17.2,17.1
"170","2017",170,"PNG","Papua New Guinea","OPI","Pacific Islands",16.2,15.2,17.1
"171","2017",171,"TKM","Turkmenistan","ASC","Central Asia",15.7,13,18.2
"172","2017",172,"BEN","Benin","AFW","Western Africa",15.1,13.4,16.7
"173","2017",173,"SDN","Sudan","AFN","Northern Africa",14.7,15.7,13.8
"174","2017",174,"LBY","Libya","AFN","Northern Africa",13.7,19.4,8.4
"175","2017",175,"HTI","Haiti","AMC","Caribbean",12.8,13.3,12.4
"176","2017",176,"AIA","Anguilla","AMC","Caribbean",11.1,10.5,11.6
"177","2017",177,"SWZ","Swaziland","AFZ","Southern Africa",6.7,5.5,7.9
"178","2017",178,"MDG","Madagascar","AFE","Eastern Africa",6.2,7.5,4.9
"179","2017",179,"SOM","Somalia","AFE","Eastern Africa",5.7,5.2,6.2
"180","2017",180,"TCD","Chad","AFM","Middle Africa",3.2,1.7,4.6
"181","©2018 Open Data Watch - Licensed under a Creative Commons Attribution 4.0 license",NA,"","","","",NA,NA,NA
"182","Please cite any uses of these data as: Open Data Watch -- Open Data Inventory http://www.opendatawatch.com",NA,"","","","",NA,NA,NA
"183","March 06, 2018 5:39PM",NA,"","","","",NA,NA,NA
